GENESIS-Tabelle: 22521-12i
Statistik der Adoptionen: Adoptierte Kinder und Jugendliche;;;;;;;;;
nach Altersgruppen und Geschlecht - Land - Jahr;;;;;;;;;
Statistik der Adoptionen;;;;;;;;;
Nordrhein-Westfalen;;;;;;;;;
;;Adoptierte Kinder und Jugendliche;Adoptierte Kinder und Jugendliche;Adoptierte Kinder und Jugendliche;Adoptierte Kinder und Jugendliche;Adoptierte Kinder und Jugendliche;Adoptierte Kinder und Jugendliche;Adoptierte Kinder und Jugendliche;Adoptierte Kinder und Jugendliche
;;Insgesamt;unter 1 Jahr;1 bis unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 9 Jahre;9 bis unter 12 Jahre;12 bis unter 15 Jahre;15 bis unter 18 Jahre
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2022;männlich;411;88;152;30;34;36;40;31
2022;weiblich;411;86;153;31;38;28;49;26
2022;Insgesamt;822;174;305;61;72;64;89;57
2021;männlich;457;67;169;44;33;52;42;50
2021;weiblich;424;69;131;34;46;44;49;51
2021;Insgesamt;881;136;300;78;79;96;91;101
2020;männlich;408;69;137;46;34;40;43;39
2020;weiblich;446;70;131;42;44;56;50;53
2020;Insgesamt;854;139;268;88;78;96;93;92
2019;männlich;410;51;158;41;44;38;44;34
2019;weiblich;406;41;128;48;36;54;43;56
2019;Insgesamt;816;92;286;89;80;92;87;90
2018;männlich;424;54;147;43;35;57;44;44
2018;weiblich;393;54;124;35;46;52;37;45
2018;Insgesamt;817;108;271;78;81;109;81;89
2017;männlich;436;50;131;56;52;65;44;38
2017;weiblich;430;42;127;41;61;57;47;55
2017;Insgesamt;866;92;258;97;113;122;91;93
2016;männlich;496;48;139;57;74;57;66;55
2016;weiblich;450;36;124;50;51;63;66;60
2016;Insgesamt;946;84;263;107;125;120;132;115
2015;männlich;472;38;153;51;74;53;57;46
2015;weiblich;474;45;117;70;67;48;64;63
2015;Insgesamt;946;83;270;121;141;101;121;109
2014;männlich;421;37;129;34;67;66;44;44
2014;weiblich;446;28;120;59;64;52;58;65
2014;Insgesamt;867;65;249;93;131;118;102;109
2013;männlich;458;29;120;67;76;69;44;53
2013;weiblich;461;19;111;58;67;71;70;65
2013;Insgesamt;919;48;231;125;143;140;114;118
2012;männlich;495;25;122;77;56;70;83;62
2012;weiblich;421;14;106;67;47;61;65;61
2012;Insgesamt;916;39;228;144;103;131;148;123
2011;männlich;496;20;140;104;82;49;53;48
2011;weiblich;433;22;113;48;66;78;44;62
2011;Insgesamt;929;42;253;152;148;127;97;110
2010;männlich;501;13;136;90;64;80;56;62
2010;weiblich;452;14;116;69;69;63;62;59
2010;Insgesamt;953;27;252;159;133;143;118;121
2009;männlich;441;15;108;71;54;77;56;60
2009;weiblich;429;17;113;61;54;61;71;52
2009;Insgesamt;870;32;221;132;108;138;127;112
2008;männlich;502;27;123;70;78;79;63;62
2008;weiblich;468;17;94;67;69;82;70;69
2008;Insgesamt;970;44;217;137;147;161;133;131
2007;männlich;563;25;141;94;91;69;70;73
2007;weiblich;469;15;105;66;70;73;68;72
2007;Insgesamt;1032;40;246;160;161;142;138;145
2006;männlich;584;18;125;91;91;75;83;101
2006;weiblich;597;11;118;84;98;101;97;88
2006;Insgesamt;1181;29;243;175;189;176;180;189
2005;männlich;583;12;135;83;91;100;83;79
2005;weiblich;544;9;112;70;88;89;79;97
2005;Insgesamt;1127;21;247;153;179;189;162;176
2004;männlich;647;8;137;111;109;90;74;118
2004;weiblich;577;7;112;87;102;94;87;88
2004;Insgesamt;1224;15;249;198;211;184;161;206
2003;männlich;651;10;156;116;104;88;92;85
2003;weiblich;646;10;117;104;120;97;91;107
2003;Insgesamt;1297;20;273;220;224;185;183;192
__________
"Kinder und Jugendliche mit den Geschlechtsangaben ""divers""
und ""ohne Angabe"" (nach § 22 Absatz 3 PStG) werden in
Geheimhalt- ungsfällen per Zufallsprinzip dem männlichen
oder weiblichen Geschlecht zugeordnet."
© IT.NRW, Düsseldorf, 2023. Dieses Werk ist lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0.
Stand: 09.08.2023 / 14:18:22
